hour,home_kwh,work_kwh,public_kwh,total_kwh
0,34874.7,188.0,434.5,35497.2
1,12369.8,138.9,191.4,12700.1
2,3691.7,67.6,155.2,3914.4
3,1477.7,409.4,241.7,2128.8
4,579.9,1089.6,102.4,1771.9
5,353.0,2480.1,515.3,3348.4
6,434.1,4724.4,2765.9,7924.4
7,2768.7,5622.7,7721.9,16113.4
8,5978.9,4680.8,6903.0,17562.7
9,8701.7,3090.9,3477.9,15270.4
10,8902.4,2393.9,3362.3,14658.6
11,14050.5,2904.7,3055.8,20011.0
12,16120.2,3172.1,4191.7,23483.9
13,15472.4,2601.2,3467.0,21540.7
14,25882.8,3511.7,3536.3,32930.7
15,43808.7,5173.0,6399.5,55381.2
16,61705.8,6903.6,9336.3,77945.7
17,81736.7,9062.1,10432.3,101231.1
18,86007.1,6537.6,9839.5,102384.2
19,75946.3,4489.9,6302.5,86738.7
20,57965.2,2952.3,3419.0,64336.4
21,43832.3,1662.9,2423.7,47918.9
22,41953.5,996.8,1605.4,44555.7
23,47871.4,554.0,964.6,49390.0
